,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year
0,0.932,"['George Enescu', 'Isaac Stern']",0.26,529533,0.215,0.12,0.1159999999999999,-15.489,Violin Sonata No. 3,0,0.0377,99.137,0.0392,1949
1,0.0244,['Bad Religion'],0.184,141093,0.83,0.0,0.3979999999999999,-4.144,White Trash (Second Generation),27,0.0393,132.112,0.6920000000000001,1982
2,0.184,['Hollywood Session Group'],0.752,223791,0.727,0.00011,0.0645,-9.434,Hole In The Head,0,0.0339,125.032,0.905,2010
3,0.1989999999999999,['Sam & Bill'],0.6459999999999999,167840,0.426,0.0,0.205,-8.861,For Your Love,13,0.0314,97.527,0.722,1965
4,0.192,['The Proclaimers'],0.578,242667,0.624,0.0,0.149,-13.179,Letter from America - Band Version,46,0.0465,113.289,0.5329999999999999,1987
5,0.748,['Elvis Presley'],0.494,119707,0.847,0.0,0.183,-9.243,Make Me Know It,30,0.0396,93.303,0.965,1960
6,0.2239999999999999,['Air'],0.447,154293,0.675,0.141,0.0779,-7.297999999999999,Remember,31,0.035,116.763,0.2769999999999999,1998
7,0.991,"['Johann Sebastian Bach', 'Glenn Gould']",0.2739999999999999,130493,0.138,0.8959999999999999,0.135,-26.948,Goldberg Variations,22,0.0392,95.265,0.4539999999999999,1956
8,0.926,"['Stan Getz', 'Luiz Bonfá', 'Maria Toledo']",0.5529999999999999,248560,0.209,0.00214,0.107,-17.209,Menina Flor,33,0.036,111.519,0.552,1963
9,0.905,['Lester Young'],0.508,606027,0.267,0.00955,0.123,-12.528,I Didn't Know What Time It Was,19,0.0402,130.99,0.495,1956
10,0.987,"['Alan Hawkshaw', 'Brian Bennett']",0.316,236867,0.124,0.926,0.103,-28.143,Mermaid,40,0.0337,80.669,0.4589999999999999,1974
11,0.944,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet']",0.353,370667,0.108,0.0108,0.13,-19.291,Quartet No.17 in B-Flat Major for Strings,0,0.0412,92.547,0.298,1948
12,0.905,['Selah'],0.241,222840,0.0534,1.26e-06,0.152,-16.291,His Eye Is On The Sparrow,35,0.0332,145.095,0.128,1998
13,0.4429999999999999,"['Fred Waring', 'The Pennsylvanians']",0.575,179800,0.516,0.0,0.276,-10.525,Ring Those Christmas Bells,35,0.031,106.12,0.645,1959
15,0.982,"['Giacomo Puccini', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano']",0.292,126760,0.0611,0.657,0.2269999999999999,-19.416,"Puccini Tosca, Act 1 Scene 1",0,0.0492,131.855,0.0779,1953
16,0.948,['Grant Green'],0.465,526253,0.439,0.012,0.163,-12.191,I Wish You Love - Rudy Van Gelder Edition  Remastered 2009,17,0.0569,92.293,0.59,1964
17,0.868,['Pete Seeger'],0.745,49027,0.119,0.0,0.252,-26.971,Double Thumbing,1,0.8740000000000001,80.877,0.637,1954
18,0.0418,['Jake Owen'],0.475,209587,0.936,0.0,0.0873,-2.545,Anywhere With You,56,0.0413,151.988,0.598,2011
19,0.892,"['Andrew Lloyd Webber', 'Phantom Of The Opera Original London Cast', 'Steve Barton', 'Sarah Brightman']",0.445,191373,0.18,0.000373,0.193,-19.111,Why Have You Brought Me Here,32,0.0631,78.337,0.0742,1987
20,0.973,"['Giuseppe Verdi', 'Inge Borkh', 'Wiener Philharmoniker', 'Rudolf Moralt']",0.34,347827,0.177,6.43e-05,0.1159999999999999,-18.492,La forza del destino  Act 2,0,0.053,101.937,0.0395,1951
21,0.409,"['Bonny Cepeda', 'Sergio Vargas', 'Johnny Ventura']",0.5,297707,0.655,0.0,0.173,-10.535,Cuarto de Hotel 303,36,0.0346,139.398,0.9,1987
22,0.995,"['A. Likiardopoulou', 'E De Roze']",0.357,192707,0.306,0.069,0.121,-14.339,To tragoudi sou kithara,0,0.0393,111.982,0.462,1940
23,0.0528,['The The'],0.643,305373,0.6709999999999999,3.06e-05,0.318,-10.432,Heartland,20,0.0361,125.86,0.7240000000000001,1986
24,0.623,['Otis Redding'],0.445,159507,0.353,0.000372,0.0658,-10.974,Chained and Bound,27,0.0457,160.797,0.823,1965
25,0.6659999999999999,['Трумен Капоте'],0.6509999999999999,96000,0.228,2.67e-06,0.0977,-16.712,"Часть 15.10 - Другие голоса, другие комнаты",0,0.944,90.278,0.561,1948
26,3.34e-05,['DragonForce'],0.2339999999999999,406827,0.911,0.258,0.344,-5.114,Fury Of The Storm,46,0.08,199.846,0.1969999999999999,2004
27,0.000156,['GAIA'],0.4429999999999999,42987,0.97,0.0015,0.754,-5.88,In Principio (Mix Cut) - Original Mix,3,0.0652,134.075,0.1009999999999999,2015
28,0.995,['Cristian Vasile'],0.425,157153,0.375,4.32e-06,0.384,-9.529,Sărută-mă!,1,0.0973,178.405,0.758,1935
29,0.5720000000000001,['Los Hermanos Arriagada'],0.507,166922,0.324,0.0,0.0724,-12.507,Un Mundo Diferente,18,0.0313,87.471,0.562,1954
30,0.0020399999999999,['Akala'],0.69,209109,0.7140000000000001,1.03e-05,0.0844,-7.775,"Comedy, Tragedy, History - 2016 Mix",23,0.166,76.57600000000002,0.534,2016
31,0.616,['Dr. Hook'],0.303,173960,0.421,0.0,0.314,-13.148,A Little Bit More,39,0.0353,180.833,0.472,1995
32,0.527,['Bob Dylan'],0.527,255573,0.8690000000000001,3.31e-06,0.0735,-7.175,Tough Mama,28,0.0874,164.80599999999995,0.8909999999999999,1974
33,0.00316,"['Eddy Rave', 'Jk Lloyd']",0.745,451141,0.76,0.542,0.3229999999999999,-9.37,Extasy (October Symphony) - Jk Lloyd Mix,0,0.046,129.996,0.612,2017
34,0.6990000000000001,['Brian Stokes Mitchell'],0.3779999999999999,221933,0.436,1.37e-06,0.478,-15.074000000000002,Through Heaven's Eyes - The Prince Of Egypt,50,0.0782,119.985,0.507,1998
35,0.889,['Ahmad Jamal'],0.701,284173,0.282,0.948,0.192,-18.049,Raincheck,21,0.0281,92.907,0.867,1960
36,0.00967,['Kamelot'],0.352,303280,0.747,0.00832,0.179,-8.911,Rhydin,5,0.036,120.017,0.34,2016
37,0.0353,['Christopher Wilde'],0.555,175027,0.8,0.0,0.0783,-4.835,Starstruck,53,0.0776,174.007,0.8009999999999999,2010
38,0.0665,"['Stick Figure', ""TJ O'Neill""]",0.857,443380,0.713,0.0279,0.0748,-7.327000000000001,Weight of Sound,59,0.0354,141.994,0.8690000000000001,2012
40,0.3879999999999999,['Charlie Daniels'],0.698,289267,0.856,0.0,0.139,-8.402999999999999,Trudy,27,0.0444,101.28,0.831,1973
41,0.063,"['Rebelion', 'Deetox']",0.57,173357,0.95,0.0,0.342,-2.846,Within Me,1,0.262,154.984,0.186,2016
42,0.00709,['Faith No More'],0.304,209240,0.965,0.00725,0.924,-5.182,Collision - Live from Phoenix Festival; 2016 Remaster,15,0.145,148.79,0.159,1997
43,0.8170000000000001,"['Roy Eldridge', 'Dizzy Gillespie']",0.648,324533,0.146,0.0,0.104,-18.713,Sometimes I'm Happy,10,0.1119999999999999,123.741,0.61,1954
44,0.879,['Night Club Jazz'],0.7090000000000001,131580,0.218,0.451,0.0933,-15.265999999999998,Striking The Year,5,0.152,66.34100000000001,0.8109999999999999,2017
45,0.55,['Eddie Kendricks'],0.485,265613,0.491,0.000499,0.113,-11.675,Tell Her Love Has Felt The Need,23,0.0351,142.857,0.623,1974
46,0.105,['Shungi Music Crew'],0.6990000000000001,388115,0.838,0.909,0.128,-12.106,Trip to Limpopo,0,0.0462,123.993,0.481,1928
47,2.52e-05,['Ruls'],0.615,456999,0.8190000000000001,0.591,0.114,-6.376,Future - 2011 Remix,0,0.0354,135.015,0.0566,2008
48,0.994,['Dimitris Perdikopoulos'],0.312,193773,0.294,0.736,0.175,-12.499,Mia Kori Alexandriani,0,0.0357,81.868,0.838,1940
49,0.0927,"['Justin Timberlake', 'JAY-Z']",0.797,269147,0.611,1.37e-06,0.259,-4.99,Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],60,0.183,102.034,0.426,2013
50,0.347,['Fred von Hoerschelmann'],0.644,239813,0.0898,0.0,0.275,-24.887,Kapitel 24 - Amtmann Enders,0,0.928,69.742,0.381,1952
51,0.133,"['GoldLink', 'Brent Faiyaz', 'Shy Glizzy']",0.728,176702,0.607,0.0,0.0864,-8.417,Crew (feat. Brent Faiyaz & Shy Glizzy),74,0.132,129.938,0.445,2017
52,0.938,"['Judy Garland', 'Victor Young & His Orchestra']",0.601,258227,0.186,0.0,0.2769999999999999,-12.762,Sweet Sixteen,7,0.102,101.278,0.46,1954
53,0.664,['Los Relampagos Del Norte'],0.777,181534,0.481,0.0,0.2319999999999999,-7.22,Me Caíste Del Cielo,38,0.0381,110.625,0.945,1992
54,0.00122,['Joy Division'],0.47,196827,0.812,0.821,0.135,-8.43,Love Will Tear Us Apart (Martin Hannett Sessions),38,0.104,148.069,0.6859999999999999,1980
55,0.583,['Daryl Hall & John Oates'],0.575,144973,0.613,0.0,0.0641,-7.148,Rich Girl,41,0.123,166.9,0.831,1983
56,0.381,['Florida Georgia Line'],0.547,186667,0.511,0.0,0.15,-5.263999999999999,Second Guessing - From Songland,39,0.0275,137.87,0.256,2021
57,0.038,"['North Point Worship', 'Seth Condrey']",0.28,293331,0.737,0.0,0.124,-3.938,Death Was Arrested,60,0.0414,155.884,0.155,2017
58,0.996,['V. S. Jog'],0.5670000000000001,170593,0.193,0.621,0.268,-13.338,Beet Gaya Prabhu Ram Ka Raj Re,0,0.147,65.829,0.565,1948
59,0.129,"[""Gov't Mule""]",0.534,356733,0.72,0.00273,0.11,-5.905,Banks Of The Deep End,47,0.0303,151.515,0.685,2001
60,0.992,"['Jack Teagarden', 'Red Nichols & His Five Pennies']",0.563,186360,0.0943,0.906,0.0877,-17.582,Tea For Two,0,0.0476,95.677,0.405,1932
61,0.855,['Rick Schulman'],0.6459999999999999,122053,0.0674,0.0006309999999999,0.113,-21.942,"Hush, Little Baby",33,0.032,95.575,0.292,1988
62,0.836,['Cannonball Adderley'],0.565,221467,0.493,0.0224,0.111,-5.729,Everglade,8,0.0548,152.43,0.622,1955
63,0.395,['Sam & Dave'],0.746,152333,0.3339999999999999,0.00793,0.258,-13.418,Soothe Me,50,0.13,126.099,0.68,1969
64,0.297,"['Jesse Mader', 'PK', 'D. Smitty']",0.77,223508,0.8540000000000001,0.0,0.366,-6.181,How We Roll (2004) [feat. Pk & D. Smitty],0,0.348,91.991,0.742,2017
65,0.951,['Munawwar Sultana'],0.631,173453,0.474,0.8140000000000001,0.752,-8.638,Duniya Se Jo Mita Hay Hamara Nishan Na Ho,0,0.0519,143.254,0.721,1949
66,0.623,['Tom Petty and the Heartbreakers'],0.431,284773,0.0979,0.000617,0.109,-19.436,Southern Accents,36,0.0289999999999999,80.455,0.178,1985
68,0.691,['Bob Wills'],0.7120000000000001,117840,0.417,0.0,0.146,-8.074,Roly Poly,10,0.0377,120.24,0.918,1961
69,0.995,"['Ludwig van Beethoven', 'Rudolf Serkin']",0.258,389160,0.0305,0.894,0.131,-34.016,Piano Sonata No. 14 in C-Sharp Minor,24,0.0409,67.456,0.0913,1963
70,0.852,['Norma Tanega'],0.34,158347,0.3339999999999999,0.0,0.0936,-8.392999999999999,Don't Touch,25,0.0348,204.973,0.493,1966
71,0.22,['R.E.M.'],0.423,229733,0.442,0.0,0.139,-9.499,Find The River,59,0.0268,144.556,0.296,1992
72,0.995,['Anjali Devi'],0.507,188017,0.163,0.627,0.19,-11.402,Yeh Kaisa Hai Dharm Tumhara,0,0.096,75.922,0.523,1943
73,0.976,['Coro Infantil Sinfonico'],0.341,154737,0.256,0.6970000000000001,0.3279999999999999,-18.86,Tempus,0,0.0334,141.07,0.6990000000000001,1936
74,0.00609,['The Wonder Years'],0.42,179969,0.923,0.0,0.043,-4.121,Won’t Be Pathetic Forever,25,0.221,164.11700000000005,0.491,2013
75,0.01,"['Whitney Houston', 'Chris Cox', 'Barry Harris']",0.735,256640,0.944,0.00307,0.048,-4.872,It's Not Right but It's Okay,58,0.0409999999999999,129.994,0.76,2006
77,0.0123,"['Armin van Buuren', 'Miri Ben-Ari']",0.584,526500,0.768,0.000344,0.254,-8.894,Intense [ASOT 644] **Tune Of The Year 2013**,5,0.0647,135.151,0.172,2013
78,0.979,"['Giuseppe Verdi', 'Gino Marinuzzi', 'Bruno Erminero', 'Carlo Tagliabue', ""Coro dell'EIAR di Torino"", 'Dario Caselli', 'Ebe Stignani', ""Orchestra Sinfonica dell'EIAR di Torino""]",0.575,57440,0.257,0.00107,0.2269999999999999,-12.608,Verdi  La forza del destino  Act 2,0,0.531,69.715,0.175,1942
79,0.4639999999999999,['Dumbfoundead'],0.795,211069,0.7859999999999999,7.91e-06,0.3829999999999999,-6.357,Cockblockers,9,0.2269999999999999,95.02,0.7659999999999999,2008
80,0.573,['Muddy Waters'],0.519,173040,0.779,8.13e-05,0.286,-9.159,Got My Mojo Working,50,0.0648,113.487,0.888,1997
81,0.00464,"['Patrick Hofmann', 'Max C', 'David Puentez']",0.596,273387,0.8370000000000001,0.00159,0.1,-5.795,V.I.P. - David Puentez Remix,0,0.165,128.042,0.171,2013
82,0.472,"['TandMProductionCo', 'TandMMusic', 'TandMTV']",0.677,141923,0.298,0.456,0.4429999999999999,-13.143,"Frederick's Bass Tester, Year 5, Track #57",0,0.513,129.924,0.297,2014
83,0.977,"['A. L. Lloyd', 'Ewan MacColl']",0.743,131187,0.416,0.0,0.15,-10.69,Jack Tar,8,0.0478,121.672,0.6940000000000001,1960
84,0.000541,"['Super8 & Tab', 'KhoMha']",0.509,176085,0.931,0.862,0.147,-6.778,Stardust,8,0.0393,130.994,0.158,2019
85,0.981,"['Camille Saint-Saëns', 'Pascal Rogé', 'Cristina Ortiz', 'London Sinfonietta', 'Charles Dutoit']",0.208,136400,0.00875,0.969,0.0756,-37.23,"Le Carnaval des Animaux, R.125 4. Tortues",36,0.0361,83.036,0.0911,1980
86,0.56,['セキトオ・シゲオ'],0.7759999999999999,179886,0.496,0.0464,0.0487,-8.83,Heart,25,0.0308,128.92700000000002,0.703,1975
87,0.00159,['Ramones'],0.4679999999999999,210333,0.825,0.000169,0.143,-12.853,Pet Sematary,49,0.0365,148.295,0.6609999999999999,1989
88,0.00342,['Sean Jay Dee'],0.8009999999999999,3636051,0.792,0.841,0.0764,-9.739,March 2014 Mixed by Sean Jay Dee - Continuous Mix,0,0.0488,124.006,0.325,2014
89,0.972,"['Francisco Canaro', 'Francisco Amor']",0.7340000000000001,169587,0.472,0.00737,0.212,-6.5310000000000015,Al Son del Acordeón - Remasterizado,0,0.114,80.125,0.866,1939
90,0.0736,['Tears For Fears'],0.665,290640,0.787,0.000132,0.143,-8.392999999999999,Advice For The Young At Heart,57,0.0328,122.478,0.358,1989
91,0.000413,['STRAIGHT'],0.3720000000000001,128120,0.967,0.0,0.496,-2.694,3years All My Love,0,0.106,111.444,0.456,2020
92,0.51,"['Stephen Sondheim', 'Pamela Myers', 'Harold Hastings', 'Original Broadway Cast Orchestra']",0.457,161960,0.5429999999999999,0.0107,0.444,-10.495,Company - Original Broadway Cast Another Hundred People,22,0.0794,93.79,0.258,1970
93,0.163,['Morgan Wallen'],0.59,224920,0.777,0.0,0.104,-5.948,Silverado For Sale,50,0.0298,137.955,0.384,2021
94,0.139,['The Cars'],0.805,264320,0.612,0.00232,0.0949,-7.024,Victim of Love - 2016 Remaster,6,0.0432,129.014,0.775,2016
95,0.995,['Müzeyyen Senar'],0.319,201169,0.3,0.936,0.903,-14.53,Son Mevsimi Ömrümün,0,0.0588,71.22,0.357,1951
96,0.0143,['Stevie Wonder'],0.471,152867,0.731,1.06e-05,0.19,-7.218,Send Me Some Lovin,20,0.0704,188.509,0.789,1967
97,0.4379999999999999,['Three Dog Night'],0.525,226427,0.637,0.000315,0.217,-11.181,Never Been To Spain,45,0.0295,89.273,0.772,1993
98,0.994,['Carlos Gardel'],0.6,184135,0.517,0.0622,0.131,-7.718,Mano a Mano,0,0.405,63.727,0.688,1946
99,0.0877,['Patti LaBelle'],0.81,251160,0.722,0.0008849999999999,0.529,-7.101,New Attitude,50,0.0429,138.011,0.963,1996
